*mason-lspconfig-mapping.txt*

==============================================================================
SERVER MAPPINGS                                   *mason-lspconfig-server-map*
json-lsp                                  jsonls
jsonnet-language-server                   jsonnet_ls
julia-lsp                                 julials
kcl                                       kcl
kotlin-language-server                    kotlin_language_server
lelwel                                    lelwel_ls
lemminx                                   lemminx
lexical                                   lexical
ltex-ls                                   ltex
lua-language-server                       lua_ls
luau-lsp                                  luau_lsp
lwc-language-server                       lwc_ls
markdown-oxide                            markdown_oxide
marksman                                  marksman
matlab-language-server                    matlab_ls
mdx-analyzer                              mdx_analyzer
mesonlsp                                  mesonlsp
millet                                    millet
metamath-zero-lsp                         mm0_ls
motoko-lsp                                motoko_lsp
move-analyzer                             move_analyzer
mutt-language-server                      mutt_ls
neocmakelsp                               neocmake
nextls                                    nextls
nginx-language-server                     nginx_language_server
nickel-lang-lsp                           nickel_ls
nil                                       nil_ls
nimlangserver                             nim_langserver
nimlsp                                    nimls
ocaml-lsp                                 ocamllsp
ols                                       ols
omnisharp                                 omnisharp
opencl-language-server                    opencl_ls
openscad-lsp                              openscad_lsp
pbls                                      pbls
perlnavigator                             perlnavigator
pest-language-server                      pest_ls
phpactor                                  phpactor
pico8-ls                                  pico8_ls
pkgbuild-language-server                  pkgbuild_language_server
powershell-editor-services                powershell_es
prisma-language-server                    prismals
prosemd-lsp                               prosemd_lsp
psalm                                     psalm
puppet-editor-services                    puppet
purescript-language-server                purescriptls
python-lsp-server                         pylsp
pylyzer                                   pylyzer
pyre                                      pyre
pyright                                   pyright
quick-lint-js                             quick_lint_js
r-languageserver                          r_language_server
raku-navigator                            raku_navigator
reason-language-server                    reason_ls
regal                                     regal
regols                                    regols
remark-language-server                    remark_ls
rescript-language-server                  rescriptls
rnix-lsp                                  rnix
robotframework-lsp                        robotframework_ls
rome                                      rome
rubocop                                   rubocop
ruby-lsp                                  ruby_lsp
ruff                                      ruff
rust-analyzer                             rust_analyzer
salt-lsp                                  salt_ls
serve-d                                   serve_d
shopify-cli                               shopify_theme_ls
slint-lsp                                 slint_lsp
smithy-language-server                    smithy_ls
snakeskin-cli                             snakeskin_ls
snyk-ls                                   snyk_ls
solang                                    solang
solargraph                                solargraph
solidity                                  solc
solidity-ls                               solidity
vscode-solidity-server                    solidity_ls
nomicfoundation-solidity-language-server  solidity_ls_nomicfoundation
some-sass-language-server                 somesass_ls
sorbet                                    sorbet
sourcery                                  sourcery
spectral-language-server                  spectral
sqlls                                     sqlls
sqls                                      sqls
standardrb                                standardrb
starlark-rust                             starlark_rust
starpls                                   starpls
steep                                     steep
stimulus-language-server                  stimulus_ls
stylelint-lsp                             stylelint_lsp
superhtml                                 superhtml
svelte-language-server                    svelte
svlangserver                              svlangserver
svls                                      svls
swift-mesonlsp                            swift_mesonls
tailwindcss-language-server               tailwindcss
taplo                                     taplo
teal-language-server                      teal_ls
templ                                     templ
terraform-ls                              terraformls
texlab                                    texlab
textlsp                                   textlsp
tflint                                    tflint
shopify-theme-check                       theme_check
thriftls                                  thriftls
tinymist                                  tinymist
typescript-language-server                ts_ls
tsp-server                                tsp_server
twiggy-language-server                    twiggy_language_server
typos-lsp                                 typos_lsp
unocss-language-server                    unocss
v-analyzer                                v_analyzer
vacuum                                    vacuum
vala-language-server                      vala_ls
vale-ls                                   vale_ls
verible                                   verible
veryl-ls                                  veryl_ls
rust_hdl                                  vhdl_ls
vim-language-server                       vimls
visualforce-language-server               visualforce_ls
vls                                       vls
vue-language-server                       volar
vtsls                                     vtsls
vetur-vls                                 vuels
wgsl-analyzer                             wgsl_analyzer
yaml-language-server                      yamlls
zk                                        zk
zls                                       zls

vim:tw=78:ft=help:norl:expandtab:sw=4
